Battalion,Station Area,year,month,value,Division
Battalion 01,Station Area 02,2018,3,535,Division 02
Battalion 01,Station Area 02,2018,4,518,Division 02
Battalion 01,Station Area 02,2018,5,484,Division 02
Battalion 01,Station Area 02,2018,6,506,Division 02
Battalion 01,Station Area 02,2018,7,441,Division 02
Battalion 01,Station Area 02,2018,8,485,Division 02
Battalion 01,Station Area 02,2018,9,438,Division 02
Battalion 01,Station Area 02,2018,10,544,Division 02
Battalion 01,Station Area 02,2018,11,573,Division 02
Battalion 01,Station Area 02,2018,12,533,Division 02
Battalion 01,Station Area 02,2019,1,498,Division 02
Battalion 01,Station Area 02,2019,2,587,Division 02
Battalion 01,Station Area 02,2019,3,567,Division 02
Battalion 01,Station Area 02,2019,4,494,Division 02
Battalion 01,Station Area 02,2019,5,462,Division 02
Battalion 01,Station Area 02,2019,6,604,Division 02
Battalion 01,Station Area 02,2019,7,494,Division 02
Battalion 01,Station Area 02,2019,8,478,Division 02
Battalion 01,Station Area 02,2019,9,542,Division 02
Battalion 01,Station Area 02,2019,10,634,Division 02
Battalion 01,Station Area 02,2019,11,605,Division 02
Battalion 01,Station Area 02,2019,12,687,Division 02
Battalion 01,Station Area 02,2020,1,656,Division 02
Battalion 01,Station Area 02,2020,2,556,Division 02
Battalion 01,Station Area 02,2020,3,468,Division 02
Battalion 01,Station Area 02,2020,4,209,Division 02
Battalion 01,Station Area 03,2000,4,96,Division 02
Battalion 01,Station Area 03,2000,5,177,Division 02
Battalion 01,Station Area 03,2000,6,221,Division 02
Battalion 01,Station Area 03,2000,7,137,Division 02
Battalion 01,Station Area 03,2000,8,152,Division 02
Battalion 01,Station Area 03,2000,9,200,Division 02
Battalion 01,Station Area 03,2000,10,199,Division 02
Battalion 01,Station Area 03,2000,11,151,Division 02
Battalion 01,Station Area 03,2000,12,173,Division 02
Battalion 01,Station Area 03,2001,1,162,Division 02
Battalion 01,Station Area 03,2001,2,98,Division 02
Battalion 01,Station Area 03,2001,3,231,Division 02
Battalion 01,Station Area 03,2001,4,198,Division 02
Battalion 01,Station Area 03,2001,5,166,Division 02
Battalion 01,Station Area 03,2001,6,158,Division 02
Battalion 01,Station Area 03,2001,7,137,Division 02
Battalion 01,Station Area 03,2001,8,188,Division 02
Battalion 01,Station Area 03,2001,9,208,Division 02
Battalion 01,Station Area 03,2001,10,172,Division 02
Battalion 01,Station Area 03,2001,11,167,Division 02
Battalion 01,Station Area 03,2001,12,161,Division 02
Battalion 01,Station Area 03,2002,1,144,Division 02
Battalion 01,Station Area 03,2002,2,153,Division 02
Battalion 01,Station Area 03,2002,3,137,Division 02
Battalion 01,Station Area 03,2002,4,151,Division 02
Battalion 01,Station Area 03,2002,5,165,Division 02
Battalion 01,Station Area 03,2002,6,156,Division 02
Battalion 01,Station Area 03,2002,7,164,Division 02
Battalion 01,Station Area 03,2002,8,150,Division 02
Battalion 01,Station Area 03,2002,9,167,Division 02
Battalion 01,Station Area 03,2002,10,154,Division 02
Battalion 01,Station Area 03,2002,11,141,Division 02
Battalion 01,Station Area 03,2002,12,160,Division 02
Battalion 01,Station Area 03,2003,1,164,Division 02
Battalion 01,Station Area 03,2003,2,155,Division 02
Battalion 01,Station Area 03,2003,3,142,Division 02
Battalion 01,Station Area 03,2003,4,137,Division 02
Battalion 01,Station Area 03,2003,5,168,Division 02
Battalion 01,Station Area 03,2003,6,186,Division 02
Battalion 01,Station Area 03,2003,7,150,Division 02
Battalion 01,Station Area 03,2003,8,158,Division 02
Battalion 01,Station Area 03,2003,9,186,Division 02
Battalion 01,Station Area 03,2003,10,217,Division 02
Battalion 01,Station Area 03,2003,11,171,Division 02
Battalion 01,Station Area 03,2003,12,165,Division 02
Battalion 01,Station Area 03,2004,1,261,Division 02
Battalion 01,Station Area 03,2004,2,186,Division 02
Battalion 01,Station Area 03,2004,3,192,Division 02
Battalion 01,Station Area 03,2004,4,215,Division 02
Battalion 01,Station Area 03,2004,5,165,Division 02
Battalion 01,Station Area 03,2004,6,193,Division 02
Battalion 01,Station Area 03,2004,7,215,Division 02
Battalion 01,Station Area 03,2004,8,105,Division 02
Battalion 01,Station Area 03,2004,11,103,Division 02
